,ADM3_EN,ADM3_RU,ADM3_KY,geometry,label_coords
4,Ak-Bulun,Ак-Булунский,Ак-Булуң,"POLYGON Z ((6774136.670637126 4557783.023878982 0, 6774293.092953896 4557606.089064389 0, 6774610.153335042 4557320.211024671 0, 6775153.512758706 4556877.195172738 0, 6775517.004958224 4556441.657684021 0, 6775787.10693517 4555816.849602651 0, 6776132.337365008 4554745.768893776 0, 6775319.656906772 4554831.972167285 0, 6773666.015053055 4554809.662449818 0, 6773316.448338676 4554017.267978038 0, 6772846.737676827 4552877.438534648 0, 6773350.535473198 4552561.182643258 0, 6773290.000883172 4551654.456543052 0, 6773828.004452579 4551268.589729653 0, 6774007.730995381 4550061.038569539 0, 6773163.789325238 4549800.241139991 0, 6772129.741460922 4549376.610900617 0, 6771072.271597893 4548987.858723909 0, 6770786.933581172 4549168.547542232 0, 6770264.816385976 4549588.652946936 0, 6769591.127531752 4550223.817976627 0, 6769159.40813562 4550659.197069256 0, 6768663.331059339 4551097.175953389 0, 6768170.953054334 4551421.033285537 0, 6767713.207553579 4551667.497429676 0, 6767364.814934911 4551780.079850475 0, 6767050.929517301 4551802.268528564 0, 6766744.775566607 4551833.623653971 0, 6766348.621828257 4551916.055411315 0, 6766023.267594027 4552043.071874341 0, 6765677.449507029 4552303.780246193 0, 6765236.594705563 4552767.621338499 0, 6765211.607793569 4553119.798527986 0, 6765237.170419861 4553887.531949471 0, 6765153.342812833 4554156.650674308 0, 6764972.518247452 4554363.242073619 0, 6764677.981991068 4554526.958898766 0, 6764265.484201558 4554695.414578563 0, 6763907.373581871 4554757.268041575 0, 6763612.815704533 4554920.957998976 0, 6763257.695225668 4554973.176129829 0, 6763051.60313875 4555044.248654827 0, 6763086.746861841 4555076.837534271 0, 6763474.073841262 4555379.631785643 0, 6763410.990029927 4555541.331880592 0, 6763285.822401877 4555768.062752339 0, 6763259.729162322 4555973.750822008 0, 6763489.446772105 4556294.211687801 0, 6763721.661095226 4556444.029911023 0, 6764077.57683493 4556441.067194598 0, 6764578.884993889 4556500.431695378 0, 6764831.149157716 4556626.662146122 0, 6765098.90880647 4556865.927856719 0, 6765428.241342578 4556989.013276623 0, 6765900.346146804 4557060.826031242 0, 6766209.693140646 4557207.413141319 0, 6766612.533476098 4557338.81890792 0, 6766939.838841771 4557427.807029399 0, 6767262.982124039 4557448.753296718 0, 6767486.975383978 4557462.360331086 0, 6767774.281375684 4557598.400424141 0, 6768046.070928342 4557621.406342953 0, 6768377.89873735 4557573.756280308 0, 6768692.143269536 4557595.005140916 0, 6769026.671850451 4557660.86967674 0, 6769430.499040462 4557667.053499607 0, 6769991.427686264 4557575.851947244 0, 6770441.578691244 4557636.905418549 0, 6771037.233459454 4557760.121106063 0, 6771567.217387955 4557931.448555333 0, 6772227.160487929 4558051.905040036 0, 6772717.397115996 4558065.70512028 0, 6773157.728964787 4558036.094313379 0, 6773802.953212562 4557918.415861374 0, 6774136.670637126 4557783.023878982 0))","(6769164.5938188005, 4553503.665238729)"
5,Beryu-Bаsh,Берю-Башский,Бөрү-Баш,"POLYGON Z ((6726461.018118512 4549351.417787957 0, 6726759.874895096 4549282.226461643 0, 6727169.430933096 4549223.75753365 0, 6727500.959399004 4549050.808699545 0, 6727864.854545531 4548671.547141664 0, 6728222.170923402 4548468.355413681 0, 6728928.660106528 4548501.831015158 0, 6729585.102528455 4548331.890540515 0, 6730130.831543345 4548151.213362524 0, 6730591.976233287 4548032.145359385 0, 6730757.645674532 4547557.333700511 0, 6730800.78374108 4547057.598344918 0, 6730734.866665384 4547059.957130349 0, 6730231.811162587 4547312.390946448 0, 6729761.378363656 4547461.067071174 0, 6729598.759864455 4547408.253382798 0, 6729330.738783626 4547535.034825129 0, 6729278.813302364 4547492.924770672 0, 6730382.848342597 4546676.907836124 0, 6731296.484270181 4545999.492481677 0, 6731595.327061456 4545748.575799065 0, 6731618.76281809 4545580.858681407 0, 6731371.608743796 4545589.708237246 0, 6731004.791002717 4545720.056494844 0, 6730905.59961389 4545621.027195503 0, 6730728.689990117 4545510.116580281 0, 6730749.170072112 4545289.576863918 0, 6731251.434439235 4544832.017503918 0, 6731471.760824404 4544545.71737719 0, 6731409.846926428 4544328.120517323 0, 6731449.277878747 4544150.861985491 0, 6731796.71385269 4543874.666641436 0, 6731920.319283882 4543533.19989341 0, 6732064.699377291 4543073.752235426 0, 6731899.287921208 4542874.501855906 0, 6731341.067783846 4542733.222641455 0, 6731571.791108533 4542050.854934572 0, 6730558.128059594 4542218.837256112 0, 6730419.817898836 4542156.161714534 0, 6730280.583122944 4542029.200021107 0, 6729957.70329351 4541864.774539792 0, 6729727.136766806 4541872.944393437 0, 6729500.916995665 4541763.698897975 0, 6729232.447794256 4541685.251338948 0, 6729074.912025139 4541720.133337763 0, 6728593.588065858 4542059.591637996 0, 6728356.486941691 4542243.846844521 0, 6728152.616831745 4542529.527516944 0, 6728026.717031284 4542929.715698089 0, 6727952.104024407 4543166.862958741 0, 6727793.242845393 4543568.207209975 0, 6727657.39670767 4543792.852488253 0, 6727436.708620519 4543976.51492337 0, 6727156.979033188 4544088.968078876 0, 6726924.18647691 4544155.789546012 0, 6726557.985531982 4544491.128744517 0, 6726391.07091881 4544555.624825923 0, 6726083.044298463 4544654.386487255 0, 6725581.706978509 4544783.052687526 0, 6724944.314290666 4544566.208214846 0, 6724661.058220489 4544592.599340069 0, 6724480.550501297 4544685.460930027 0, 6724245.175099017 4544792.572996351 0, 6724122.081471575 4544805.107304437 0, 6723993.582849313 4544776.620754876 0, 6723901.068303836 4544837.536384681 0, 6723710.481367623 4544860.657908235 0, 6723447.299116952 4544968.720022773 0, 6723317.564465148 4544973.232925134 0, 6723166.523972841 4544929.032714554 0, 6723019.49879311 4544901.174142706 0, 6722891.154138007 4544930.357292905 0, 6722705.968594052 4544994.480272732 0, 6722547.051909498 4544975.267678073 0, 6722338.219335249 4545114.384038283 0, 6722170.178776408 4545153.175851702 0, 6721968.943414011 4545151.90301809 0, 6721774.623851653 4545274.022521319 0, 6721613.219370444 4545320.818210282 0, 6721425.397151386 4545393.251403249 0, 6721120.136059238 4545634.588742256 0, 6720898.132107109 4545815.347704797 0, 6720727.713792915 4545977.837359626 0, 6720558.669230413 4546165.005639086 0, 6720389.489125301 4546294.478859698 0, 6720172.464052361 4546343.17239275 0, 6720099.831524972 4546428.101310604 0, 6720093.700842028 4546650.861988295 0, 6719914.238084397 4546929.049507685 0, 6719757.183908235 4547165.250129343 0, 6719580.708749075 4547403.505316074 0, 6719810.454646858 4547297.483556279 0, 6719963.026903936 4547194.11764874 0, 6719919.332999767 4547401.650312625 0, 6719837.666182733 4547522.194296061 0, 6719751.234043181 4547623.280467959 0, 6719611.440778279 4547824.311630131 0, 6719545.685106108 4548032.601947963 0, 6719240.630336027 4548307.997142996 0, 6719184.130085429 4548417.860229791 0, 6719059.973480588 4548569.294179338 0, 6718839.83869044 4548782.893872079 0, 6718777.066032199 4548912.592597477 0, 6718843.347169004 4548978.98560958 0, 6719076.3966492 4548931.720857299 0, 6719351.919159059 4548853.554534181 0, 6719460.678482038 4548889.046690219 0, 6719604.150729468 4548952.768724913 0, 6719947.196352495 4548764.342821298 0, 6720073.113416416 4548710.942392843 0, 6720380.351219889 4548739.560430437 0, 6720704.600229128 4548610.619695021 0, 6720900.084785453 4548682.327857728 0, 6720986.944315837 4548787.223742995 0, 6721308.354108765 4548805.504602419 0, 6721514.586488375 4548739.487107206 0, 6721672.090433285 4548724.206676173 0, 6721861.815123522 4548821.453571 0, 6722007.163294226 4548642.916226652 0, 6722270.345743313 4548428.547800201 0, 6722434.657904848 4548217.616414258 0, 6722651.077148993 4548151.447505079 0, 6722926.50828484 4548156.504489508 0, 6723687.400923613 4548379.102313915 0, 6724354.155757558 4548590.255560923 0, 6724789.4786567 4548501.696921448 0, 6725222.071929051 4548266.655021123 0, 6725563.449935793 4548269.300768822 0, 6725855.666225562 4548376.252672969 0, 6726023.198334695 4548516.899436527 0, 6725892.443685886 4548931.856281275 0, 6726180.020095115 4549053.600480941 0, 6726045.977564613 4549116.952174976 0, 6726232.206318794 4549198.304719751 0, 6726218.197288887 4549242.763756234 0, 6725999.277669266 4549265.149081866 0, 6725768.81632024 4549375.866931236 0, 6725731.452196343 4549494.423348561 0, 6725894.062533711 4549547.304174757 0, 6726030.582721333 4549527.828653818 0, 6726286.867190837 4549386.883249807 0, 6726461.018118512 4549351.417787957 0))","(6726018.859338032, 4545605.367716374)"
6,Kаrа-Djаl,Кара-Джалский,Кара-Жал,"POLYGON Z ((6739024.353314957 4551713.672852687 0, 6739436.447917214 4550756.990074604 0, 6738919.214069138 4550643.146453656 0, 6738358.121540598 4550561.339777417 0, 6737853.705881533 4550506.694997233 0, 6737709.624864235 4549823.630277036 0, 6737455.215746217 4549232.46408374 0, 6737139.952840993 4548731.375521756 0, 6737117.608675987 4548439.24421283 0, 6737207.327287924 4547893.993125865 0, 6737148.166146968 4547822.919129062 0, 6736718.782367756 4547633.547278758 0, 6736445.343737707 4547570.290912831 0, 6736203.529044704 4547769.546422671 0, 6736003.592332836 4547835.433567724 0, 6735826.540041625 4547724.695684808 0, 6735706.501610409 4547743.717595184 0, 6735492.602245745 4547854.048585006 0, 6735167.968720951 4547953.754431929 0, 6735571.348380878 4547499.602104954 0, 6736016.963545257 4547014.602466187 0, 6736103.24684259 4546791.720616112 0, 6736113.903857707 4546498.344340183 0, 6736201.917500556 4546114.251358055 0, 6736320.533294753 4545736.441650975 0, 6736515.373120432 4545582.849470193 0, 6736888.157318413 4545173.724078225 0, 6737117.657638395 4544857.712198604 0, 6737244.027772385 4544662.657371248 0, 6736801.638192612 4544722.727524059 0, 6736408.290068177 4544678.440734931 0, 6736050.03789556 4544574.255035705 0, 6735483.785607332 4544873.169753738 0, 6735183.147567783 4544429.875628108 0, 6735712.740402126 4543780.681442384 0, 6735461.284834235 4543772.099401422 0, 6734993.176593917 4543862.294836652 0, 6734549.084837625 4544083.468233416 0, 6734287.984778244 4544136.849407984 0, 6733890.058608158 4544107.239610072 0, 6733527.599350249 4544120.291392683 0, 6733252.892863213 4544320.660389646 0, 6733034.766414377 4544548.295412158 0, 6732709.864263028 4545219.346226095 0, 6732414.324454628 4545537.669996209 0, 6731737.280873869 4545825.713605085 0, 6731579.663747611 4545860.668068614 0, 6731595.327061456 4545748.575799065 0, 6731296.484270181 4545999.492481677 0, 6730382.848342597 4546676.907836124 0, 6729278.813302364 4547492.924770672 0, 6729330.738783626 4547535.034825129 0, 6729598.759864455 4547408.253382798 0, 6729761.378363656 4547461.067071174 0, 6730231.811162587 4547312.390946448 0, 6730734.866665384 4547059.957130349 0, 6730800.78374108 4547057.598344918 0, 6730757.645674532 4547557.333700511 0, 6730591.976233287 4548032.145359385 0, 6730130.831543345 4548151.213362524 0, 6729585.102528455 4548331.890540515 0, 6728928.660106528 4548501.831015158 0, 6728222.170923402 4548468.355413681 0, 6727864.854545531 4548671.547141664 0, 6727500.959399004 4549050.808699545 0, 6727169.430933096 4549223.75753365 0, 6726759.874895096 4549282.226461643 0, 6726461.018118512 4549351.417787957 0, 6726463.766610511 4549497.864448369 0, 6726405.259268314 4549631.822180271 0, 6726116.004138372 4549773.937287159 0, 6725800.382404827 4549741.12214325 0, 6725468.551318647 4549811.448039935 0, 6725341.633808704 4549903.852089019 0, 6725335.284893612 4550182.516325469 0, 6725301.924729712 4550653.90183118 0, 6725573.08909389 4550693.364474431 0, 6725634.852177516 4550808.863629979 0, 6725718.856734624 4550992.221269874 0, 6725741.276878252 4551128.720381857 0, 6725473.929216187 4551353.913159299 0, 6725274.061810854 4551468.845828037 0, 6725115.363193172 4551660.774622625 0, 6725021.027644757 4551752.364101825 0, 6724817.506667836 4551671.284719939 0, 6724634.744909798 4551697.34194632 0, 6724442.768383596 4551821.788528098 0, 6724635.292052011 4552004.72756681 0, 6725080.124931894 4552224.698272366 0, 6725301.572371072 4552254.578403382 0, 6725513.82228918 4552247.071808332 0, 6725957.767749615 4552137.091094659 0, 6726033.275838077 4552030.726231541 0, 6725987.258188714 4551843.82940919 0, 6726020.315382471 4551738.967959381 0, 6726108.028602623 4551660.44929941 0, 6726232.367901244 4551665.470650128 0, 6726261.76873291 4551871.806810242 0, 6726268.158882921 4551984.695930507 0, 6726369.871087726 4552028.21876021 0, 6726542.485404485 4551946.685553396 0, 6726639.211603312 4551839.564847119 0, 6726788.610738693 4551598.607419967 0, 6727002.064394105 4551487.339012673 0, 6727178.063409186 4551528.214700792 0, 6727348.651880646 4551786.073067313 0, 6727461.18380801 4551895.176914219 0, 6727587.136466428 4551928.394045278 0, 6727703.878731245 4551924.235046335 0, 6727735.516089391 4551857.12881144 0, 6727745.525429603 4551658.833809541 0, 6727690.459536513 4551500.557582509 0, 6727750.929416479 4551441.848550651 0, 6727889.09225811 4551502.907030257 0, 6728070.115608824 4551694.390740971 0, 6728209.890765511 4551783.659253031 0, 6728330.829740594 4551666.237598811 0, 6728434.735203673 4551436.316985555 0, 6728539.048883246 4551338.338438739 0, 6728686.228350203 4551370.782899034 0, 6728531.697764851 4551894.696301579 0, 6728529.108081917 4552036.167771018 0, 6728615.620243671 4552061.350883185 0, 6728801.846468072 4551969.864671026 0, 6728801.427530178 4551837.928822367 0, 6728806.596089809 4551554.987409731 0, 6728901.692977632 4551419.633656786 0, 6729044.267750516 4551433.385164519 0, 6729111.158422113 4551487.542899078 0, 6729073.948791808 4551705.651993415 0, 6729328.878901701 4551762.498266467 0, 6729466.853003976 4551757.554428505 0, 6729543.932741376 4551679.39326313 0, 6729496.441449381 4551530.296356382 0, 6729562.477483943 4551320.58001052 0, 6729618.327777842 4551243.179413931 0, 6729736.462239933 4551201.2445907 0, 6729894.47958881 4551299.252504694 0, 6730303.556694869 4551199.745674743 0, 6730515.817434456 4551192.119099888 0, 6730645.009257997 4551281.719727014 0, 6730738.198826163 4551485.706304809 0, 6730571.828642435 4551614.209732702 0, 6730220.410363669 4551730.51223102 0, 6729724.792099509 4551804.855130778 0, 6729177.377479429 4552276.869383757 0, 6728867.411122894 4552561.290955594 0, 6728618.318725543 4552918.925967908 0, 6728428.287990061 4553255.594153803 0, 6729303.700837695 4553536.938023237 0, 6730219.579257521 4553868.143220137 0, 6730304.885258201 4553375.367247103 0, 6730420.863481697 4553007.046710351 0, 6730751.26097527 4552756.566107601 0, 6731076.07076128 4552656.957184367 0, 6731485.971130814 4552642.158265484 0, 6731931.028268849 4551521.111585366 0, 6732082.78784027 4551616.078654918 0, 6732367.598356584 4551643.445476622 0, 6732605.719163444 4551597.156063907 0, 6732812.825762753 4551338.530819067 0, 6733125.296753206 4551189.086842331 0, 6733316.710139578 4551069.139730914 0, 6733380.61814518 4550865.924697721 0, 6733587.997884345 4550695.170761499 0, 6733716.722913869 4550552.380591876 0, 6733843.602478306 4550459.881401121 0, 6734086.315543655 4550576.621742085 0, 6734223.333876762 4550496.305240553 0, 6734450.974052305 4550349.91170192 0, 6734640.841990409 4550368.112205457 0, 6734877.42221865 4550459.938460047 0, 6735052.841140529 4550390.767204212 0, 6735227.60845927 4550145.842719236 0, 6735473.681343157 4550074.088333815 0, 6735480.15956457 4550186.848738585 0, 6735392.025593497 4550378.393291214 0, 6735305.72203421 4550519.649737833 0, 6735484.282467783 4550751.675446914 0, 6735559.924337025 4551000.007257991 0, 6735895.81002993 4551176.041171654 0, 6736353.10953094 4551410.37288348 0, 6736513.258948474 4551567.699479834 0, 6736702.833497428 4551497.972391056 0, 6736951.112437307 4551463.746193381 0, 6737207.715762222 4551491.974384991 0, 6737451.661506193 4551382.572960455 0, 6737590.150842229 4551164.068475706 0, 6737747.107003573 4551020.202188765 0, 6737906.931842173 4551089.63561595 0, 6737901.82787724 4551328.335231517 0, 6737892.383027581 4551491.873582956 0, 6738182.722580141 4551368.190568661 0, 6738300.507628964 4551527.031609059 0, 6738476.657974877 4551633.501860306 0, 6738747.061890713 4551573.299689835 0, 6739024.353314957 4551713.672852687 0))","(6732447.322153002, 4548891.092110651)"
7,Kаrаkol,Караколский,Каракол,"POLYGON Z ((6746929.557839415 4560022.496675142 0, 6747467.43675903 4559738.359902765 0, 6748460.889223835 4559332.628195896 0, 6748710.812400602 4559207.494791615 0, 6749144.921280886 4559007.179904908 0, 6749494.943891989 4558618.524814712 0, 6749257.92225454 4557877.357314512 0, 6748936.135713742 4556718.742127229 0, 6748218.202961007 4556541.660057644 0, 6747444.540601582 4556218.81808074 0, 6746410.420341097 4556565.315144021 0, 6745127.240114667 4555886.365671141 0, 6744533.352610388 4555516.248459068 0, 6744520.998957627 4555232.23229492 0, 6744411.622216919 4554974.640890846 0, 6744077.43751239 4554463.795468071 0, 6743736.443339791 4554055.590396501 0, 6743746.533336363 4553861.742213432 0, 6743630.347393963 4553706.790987637 0, 6743446.792698641 4553645.417203363 0, 6742996.245582664 4553707.886733433 0, 6742640.721604763 4553709.860273962 0, 6742844.13990614 4552996.58358382 0, 6743061.926942657 4552059.666462214 0, 6742875.330065875 4551725.206645416 0, 6742690.0097773 4551265.478926849 0, 6742728.644313997 4550899.795448595 0, 6742785.69753766 4550556.184418231 0, 6742803.023647771 4550339.26476662 0, 6742839.134208752 4550224.086820543 0, 6742937.361177389 4550072.435989612 0, 6743078.025005562 4549987.493251715 0, 6742850.679582775 4549944.766440048 0, 6742929.75068053 4549611.70486339 0, 6743052.506719918 4549220.091312046 0, 6743116.754370622 4548853.427098497 0, 6743118.00734865 4548728.163373882 0, 6742109.831390982 4548549.484186877 0, 6741870.049455421 4548991.001906973 0, 6741635.486673248 4549375.400369325 0, 6741198.468955984 4549960.849897803 0, 6740968.40505339 4550128.777615354 0, 6740910.940476679 4550392.739829166 0, 6740796.942065307 4550715.721480382 0, 6740594.818436678 4550996.441778841 0, 6740455.716979678 4551070.652725133 0, 6740156.300835771 4550956.251118851 0, 6739818.474916217 4550830.706867751 0, 6739436.447917214 4550756.990074604 0, 6739024.353314957 4551713.672852687 0, 6738948.230936566 4551867.116697972 0, 6738703.180817253 4552202.540211498 0, 6738288.460710175 4552544.23247368 0, 6737828.780392025 4552762.046937179 0, 6737424.597205405 4552714.191979163 0, 6736846.448091106 4552597.397747442 0, 6736343.856119041 4553218.42393571 0, 6735907.085573252 4553096.376503262 0, 6735241.98439093 4552944.998046329 0, 6734413.12138728 4552736.760809799 0, 6733992.722636484 4552651.652932976 0, 6733501.355881697 4552481.215080953 0, 6733117.237630018 4553657.81047007 0, 6732355.110974735 4553459.502049467 0, 6732548.885898122 4554620.07713767 0, 6732612.936610862 4556237.23087469 0, 6732915.743251723 4556163.426092051 0, 6733960.347354461 4556175.480414417 0, 6735031.122085121 4556148.780159214 0, 6734460.668327964 4557650.872296722 0, 6734660.524642285 4557593.323758699 0, 6734969.217992587 4557456.459455633 0, 6734380.353730174 4559109.28900246 0, 6734176.410236984 4559608.928341892 0, 6734434.544222175 4559641.314193582 0, 6735073.729041516 4559649.171287425 0, 6735781.948103427 4559623.015135517 0, 6736554.342823268 4559615.359513812 0, 6736986.908803121 4559389.921051587 0, 6737563.213280072 4559139.073932787 0, 6738118.760148873 4559080.852600068 0, 6738654.001984054 4559072.277263457 0, 6739542.683931304 4559135.683508454 0, 6740018.697129288 4559248.679368121 0, 6740209.531332487 4559287.009565726 0, 6740545.648511249 4559325.638574626 0, 6741162.872667096 4559323.436870342 0, 6741642.173738394 4559263.403975066 0, 6741877.107549437 4559310.532899804 0, 6742250.373265765 4559737.305839394 0, 6742474.222194647 4560031.144489486 0, 6742687.370761228 4560247.147014428 0, 6743007.341455441 4560620.130868564 0, 6743304.965802415 4560790.886864731 0, 6743706.526578864 4560978.680580383 0, 6743978.79936118 4561031.340479203 0, 6744450.269435424 4561195.420604334 0, 6745089.140381716 4561423.080938388 0, 6745325.206579656 4561218.038658013 0, 6745632.126967791 4560961.277935744 0, 6745895.569116377 4560818.185152528 0, 6746199.778145587 4560582.516309568 0, 6746543.937922197 4560331.308850381 0, 6746674.291241143 4560214.301751001 0, 6746776.995846733 4559986.342475912 0, 6746929.557839415 4560022.496675142 0))","(6738517.170467312, 4555103.4365928825)"
8,Kerege-Таsh,Кереге-Ташский,Кереге-Таш,"POLYGON Z ((6756632.596012942 4550037.38041279 0, 6757163.014435242 4549706.079839448 0, 6757342.587249425 4549699.051024428 0, 6757624.276000468 4549608.392156133 0, 6757692.002370926 4549594.363217947 0, 6757796.663554718 4549624.385471839 0, 6757963.412369717 4549617.846409412 0, 6757992.155277858 4549525.720097034 0, 6757842.871284045 4549395.073852907 0, 6757848.008827502 4549337.997990823 0, 6758077.371101284 4549090.129284805 0, 6758433.96592769 4548678.015096073 0, 6758732.046480007 4548290.939118602 0, 6758464.785085545 4548051.170387063 0, 6758227.28646982 4547878.472112522 0, 6759441.957314103 4546420.265540124 0, 6759219.349863649 4546281.116547569 0, 6759209.085609611 4546110.881546955 0, 6759497.818022734 4545712.776325585 0, 6761009.574870268 4544315.571348745 0, 6761338.703979244 4543949.966733921 0, 6761398.598205772 4543594.95761627 0, 6761475.879646205 4543102.748024839 0, 6761522.942702829 4542748.234768033 0, 6761605.947672595 4542562.948756739 0, 6761886.323620493 4542313.01225857 0, 6762204.656379461 4541985.784209129 0, 6761544.695735236 4541624.945969774 0, 6759364.508919937 4543462.461484647 0, 6759804.396265255 4542676.22702476 0, 6758999.471685657 4542821.460135775 0, 6759291.651144659 4541842.947104104 0, 6758237.147238091 4542179.874456741 0, 6757901.379171132 4542079.148418092 0, 6757509.768943625 4541832.649249086 0, 6756370.46932331 4542969.190479944 0, 6754032.130446108 4542854.567691486 0, 6753673.30561829 4542868.350832826 0, 6753327.939549634 4542676.750335978 0, 6752579.020195378 4542033.934231326 0, 6752022.179015757 4541019.435662688 0, 6751949.794617126 4540521.368619686 0, 6751806.168571708 4539399.932583218 0, 6751770.886806623 4539310.207926398 0, 6750906.319192485 4540174.003337495 0, 6749802.520728381 4539817.357836423 0, 6749277.4318872 4539484.319293785 0, 6749051.133802298 4540289.754585106 0, 6748932.357943936 4540669.909798324 0, 6748844.380778729 4540991.979749345 0, 6748907.689771868 4541194.501631897 0, 6749342.373512349 4541423.9811349 0, 6748861.047104793 4542478.05651597 0, 6749125.77066966 4542684.328265997 0, 6749320.830810095 4542870.455863647 0, 6749342.124043228 4543085.921454279 0, 6749266.520033868 4543327.820807775 0, 6749058.852571407 4543870.664289969 0, 6748664.05894875 4544768.893056867 0, 6748237.748542221 4545889.098178172 0, 6748021.157536882 4546500.536811933 0, 6748020.388845561 4546705.43725069 0, 6747934.110292391 4547021.708500854 0, 6747795.934896731 4547220.428081247 0, 6747723.856792096 4547450.787386177 0, 6747574.448921205 4547604.404591225 0, 6747558.433439756 4547696.062614285 0, 6747660.990467315 4547692.178589556 0, 6747674.21992885 4547771.347013477 0, 6747495.153100762 4547857.798596922 0, 6747404.223631309 4547986.436266609 0, 6747498.38343165 4548130.827929696 0, 6747510.014208821 4548255.580349618 0, 6747428.703788244 4548474.90242395 0, 6747403.469908174 4548555.52629104 0, 6747358.61187736 4548739.322866963 0, 6747196.355416489 4548893.42343687 0, 6747149.486084899 4549043.151366191 0, 6746964.389099256 4549391.590997056 0, 6747032.292891831 4549478.362945951 0, 6747283.908459684 4549241.211240249 0, 6747412.125765017 4549236.350462168 0, 6747527.930288471 4549311.623331607 0, 6747927.367337859 4548966.425711762 0, 6748289.147075844 4548781.974336749 0, 6748382.917105331 4548846.692883104 0, 6748554.794787229 4548783.254401444 0, 6748817.262553251 4548875.688395265 0, 6749100.510980776 4548739.719059688 0, 6749201.495384432 4548781.390319113 0, 6749471.916813778 4548645.899945815 0, 6749737.572404658 4548647.142448821 0, 6750380.690608688 4548656.704157477 0, 6750691.587956523 4548553.770806552 0, 6750845.453999573 4548547.878202259 0, 6750958.573103205 4548793.885023604 0, 6751114.162750593 4548924.46730517 0, 6751365.442231771 4548971.718655022 0, 6751441.246203488 4549093.974210289 0, 6751412.887685928 4549265.74174803 0, 6751484.650526943 4549319.878044617 0, 6751765.641657836 4549434.238965468 0, 6751749.663532977 4549525.879865003 0, 6751539.745809555 4549670.491638885 0, 6751501.718371878 4549751.601734978 0, 6751843.245953337 4549875.002291431 0, 6751981.613924283 4550040.344648994 0, 6752074.174688566 4550271.169480068 0, 6752471.093889721 4550460.658733925 0, 6752791.738497659 4550448.277895973 0, 6753194.51003071 4550375.822877327 0, 6753559.908765238 4550179.651380739 0, 6754013.976891796 4550105.177500822 0, 6754463.505031365 4549882.960487378 0, 6754769.288793308 4549836.958553993 0, 6755346.934003496 4549894.133133129 0, 6756007.194523233 4549970.792799261 0, 6756632.596012942 4550037.38041279 0))","(6754246.453573536, 4545240.8346912265)"
